naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen 
Taylor Hebert Aims To Be A Horticulturist,Scherazade,2,2000,2,2000,2018-06-23,2018-06-23,2018-06-23,False,False
Stone,TheWonko,22,53000,22,53000,2018-06-23,2018-04-18,2018-06-23,False,True
Calydon,Lord Mendasuit,1,5500,1,5500,2018-06-23,2018-06-23,2018-06-23,False,True
"Nurse Taylor, On Call for villians!",Smaugtheterrible,1,1700,1,1700,2018-06-25,2018-06-24,2018-06-23,False,True
Observations on Khepri,Magical Kiro-chan,1,1000,1,1000,2018-06-24,2018-06-23,2018-06-23,False,True
Stan Lee School for Non-Standard Magic,Fencer22,2,2400,2,2400,2018-06-23,2018-05-31,2018-06-23,False,True
The Streets Run With Water,Skairunner,1,729,1,729,2018-06-25,2018-06-24,2018-06-23,False,True
Final Fantasy Worm EXVIUS,dingbat779,1,2000,119,453000,2018-06-23,2016-10-27,2018-06-23,False,False
Oni&apos;s Endless Dance Party,dingbat779,1,1100,41,64000,2018-06-23,2017-07-01,2018-06-23,False,False
Absolute Power,Glasses Writer,1,1600,2,2600,2018-06-23,2018-06-04,2018-06-23,False,False
Birth By Shadows,Deus_Ex_Transhuman,1,5700,3,15000,2018-06-23,2018-05-28,2018-06-23,False,False
Forever Human,BeaconHill,1,3000,2,7100,2018-06-23,2018-06-22,2018-06-23,False,False
Host,ManMagnificent,1,2300,2,4600,2018-06-24,2018-06-22,2018-06-23,False,False
Meeting Points,The Ferryman,1,3900,10,22000,2018-06-23,2018-03-20,2018-06-23,False,False
The Red Comet,kami no kage,2,4600,6,12000,2018-06-23,2018-06-17,2018-06-23,False,False
Starry Eyes,helnae,1,1100,27,60000,2018-06-23,2013-12-24,2018-06-23,False,False
Twisted Masquerade,Hoyden,1,737,7,5400,2018-06-24,2018-06-07,2018-06-23,False,False
Vitriol And Quicksilver,timeeater14,1,658,27,14000,2018-06-23,2018-05-23,2018-06-23,False,False
Deconstructing His Own Adventure,XXX420thederpmaster420XXX,1,3200,1,3200,2018-06-18,2018-06-17,2018-06-16,False,False
Jaune Pendragon&apos;s collection of Ideas and snippets,Jaune Pendragon,1,256,1,256,2018-06-17,2018-06-17,2018-06-16,False,False
Yeah That Didn&apos;t Go As Planned,THE HO8O,1,1300,1,1300,2018-06-16,2018-06-16,2018-06-16,False,False
Project: Legacy,OneArmedYeti,1,1200,1,1200,2018-06-16,2018-06-16,2018-06-16,True,False
Green with Rage,SouthernWind,1,2400,1,2400,2018-06-16,2018-06-16,2018-06-16,False,True
Inferno,billymorph,1,2800,1,2800,2018-06-20,2018-06-19,2018-06-16,False,True
Infinity,QAI521,1,19000,1,19000,2018-06-16,2018-05-23,2018-06-16,False,True
Ophiocordyceps,ManMagnificent,1,2300,1,2300,2018-06-19,2018-06-18,2018-06-16,False,True
Recollections of a Sith Lord,SouthernWind,1,1700,1,1700,2018-06-18,2018-06-17,2018-06-16,False,True
The rules of nature,Hydralisk,1,1200,1,1200,2018-06-16,2018-06-16,2018-06-16,False,True
The Worst Day on Earth,SouthernWind,1,2400,1,2400,2018-06-20,2018-06-19,2018-06-16,False,True
Hundred Gauntlets,Xorn,1,1900,6,9000,2018-06-20,2017-06-02,2018-06-16,False,False
"No Gods, No Kings, Only Man",Algaminarus,1,1700,5,8500,2018-06-16,2018-02-19,2018-06-16,False,False
The Tragic Extent Of My Failings,The LD Man,1,2600,9,16000,2018-06-16,2016-11-27,2018-06-16,False,False
Bloodlines,SouthernWind,1,1500,5,10000,2018-06-16,2018-05-18,2018-06-16,False,False
Changing My Major to Leave Me Alone,YeOldenSnails,1,3500,4,18000,2018-06-16,2018-05-22,2018-06-16,False,False
A Doom upon Earth Bet,KnightofTempest,3,2600,6,5400,2018-06-16,2018-06-14,2018-06-16,False,False
The Nightmare Queen,QAI521,1,5900,34,191000,2018-06-16,2016-10-06,2018-06-16,False,False
Queen Coordinator,ManMagnificent,59,158000,59,158000,2018-06-17,2018-12-09,2018-06-16,False,False
Saurischian,Eotyrannus,1,1500,5,10000,2018-06-18,2018-05-04,2018-06-16,False,False
Taylor&apos;s Planeswalking Shenanigans Worm/Various,Psychedelic Cavalcade,1,528,4,2100,2018-06-18,2018-06-13,2018-06-16,False,False
To Those Who Fell,Vereor Nox,2,2100,9,9300,2018-06-16,2018-06-11,2018-06-16,False,False
The Universe Cracks Up...CYOA V3 SI,Jaune Pendragon,4,402,4,402,2018-06-18,2018-06-11,2018-06-16,False,False
We Dream of Better Days,McSwazey,2,3600,9,25000,2018-06-16,2018-04-28,2018-06-16,False,False
"Why yes, I am an Evil Lair",Automatonation,1,135,4,9600,2018-06-16,2018-05-23,2018-06-16,True,False
"Brighter Days, Darker Nights",Drakon,1,1000,1,1000,2018-06-09,2018-06-09,2018-06-09,False,False
Grief,aladreeladon,1,207,1,207,2018-06-09,2018-06-09,2018-06-09,False,False
Incomplete WTF Files,Firehedgehog,4,3400,4,3400,2018-06-09,2018-06-10,2018-06-09,False,False
[PRESERVATION],Happy Hampster,2,9400,2,9400,2018-06-11,2018-06-10,2018-06-09,False,False
Taylor Did Nothing Wrong,Drippy,10,5000,10,5000,2018-06-09,2018-06-09,2018-06-09,False,False
To Survive Being Small You Got to Tinker,Blue-Fire01,1,4800,1,4800,2018-06-09,2018-06-09,2018-06-09,False,False
And Hell Follows,SouthernWind,1,3100,1,3100,2018-06-09,2018-06-09,2018-06-09,False,True
Contagion,spyrl,1,8700,1,8700,2018-06-09,2018-06-09,2018-06-09,False,True
Fire Bug,Mglakoe,1,1000,1,1000,2018-06-09,2018-06-09,2018-06-09,False,True
A Good Bad Man,acairta,1,1100,1,1100,2018-06-09,2018-06-09,2018-06-09,False,True
Modern Art,Discreet,1,837,1,837,2018-06-11,2018-06-10,2018-06-09,False,True
Real Monsters,SouthernWind,1,760,1,760,2018-06-09,2018-06-08,2018-06-09,False,True
Two For Two,BeaconHill,1,2100,1,2100,2018-06-09,2018-06-09,2018-06-09,False,True
Pretender,TotalAbsolutism,1,5100,11,33000,2018-06-10,2017-01-21,2018-06-09,False,False
Undaunted,Tim811,2,4500,7,12000,2018-06-09,2017-05-23,2018-06-09,False,False
Weaver Parahuman Academy,Jevran,1,101,6,5700,2018-06-09,2018-08-25,2018-06-09,False,False
Earth Mu-Gamma,Katricia,1,1400,10,9200,2018-06-09,2015-08-27,2018-06-09,True,False
Animus (Rewrite),altearther,1,15000,5,25000,2018-06-10,2018-04-14,2018-06-09,False,False
Constellations,UnwelcomeStorm,47,150000,47,150000,2018-06-09,2016-08-11,2018-06-09,False,False
Corpse Collector,Akallas von Aerok,1,2000,12,24000,2018-06-09,2018-04-25,2018-06-09,False,False
CORROSION,Vhalidictes,1,5400,7,22000,2018-06-09,2018-04-13,2018-06-09,False,False
An Extra Life With Anyone She Wants,copperpatina,5,6600,5,6600,2018-06-09,2018-06-05,2018-06-09,False,False
How Taylor Hebert Agreed to Be a Slut,Ack,5,639,5,639,2018-06-09,2018-05-23,2018-06-09,False,False
Ink,S0ngD0g13,1,1000,3,2400,2018-06-10,2018-05-06,2018-06-09,False,False
L33T Gamer,Average Senator,1,3900,9,30000,2018-06-09,2018-02-15,2018-06-09,False,False
"New Litter, Lucky Seven",ScottotheUnwise,1,3000,58,215000,2018-06-11,2018-09-05,2018-06-09,False,False
"OP, Yes Please!",NuntiusTheCourier,1,2400,8,47000,2018-06-09,2018-11-22,2018-06-09,False,False
The right thing,Depression#4,1,1200,5,3300,2018-06-10,2018-06-07,2018-06-09,False,False
SamsÄra,RomaInvicta,1,1900,2,1900,2018-06-09,2018-05-19,2018-06-09,False,False
A Softer Type of Hate,SouthernWind,1,2300,4,5800,2018-06-09,2018-02-06,2018-06-09,False,False
"Taylor Hebert, Dovahkiin",YuffieK,18,21000,18,21000,2018-06-09,2014-12-02,2018-06-09,False,False
Absolution,Mujaki,4,1900,4,1900,2018-06-02,2018-06-02,2018-06-02,False,False
ClichÃ© and ClichÃ©,potatogod14,3,2100,3,2100,2018-06-02,2018-06-02,2018-06-02,False,False
The Long Slow Lizarding of Hermione Granger,mp3.1415player,8,50000,8,50000,2018-06-02,2018-06-02,2018-06-02,False,False
Tattletale is Dating,Axle,2,1800,2,1800,2018-06-02,2018-06-02,2018-06-02,False,False
adumbration,experiment,1,666,1,666,2018-06-02,2018-06-02,2018-06-02,False,True
"Brockton, Massachusetts",NihilisticJanitor,1,364,1,364,2018-06-02,2018-06-02,2018-06-02,False,True
Changling,Tascion,2,4500,2,4500,2018-06-02,2018-06-01,2018-06-02,False,True
Exiled,NihilisticJanitor,1,364,1,364,2018-06-02,2018-06-02,2018-06-02,False,True
"Gotta Hand It To Ya, Kid",NihilisticJanitor,1,364,1,364,2018-06-02,2018-06-02,2018-06-02,False,True
In The Land of The Blind,Noelemahc,1,2700,1,2700,2018-06-02,2018-06-02,2018-06-02,False,True
Mother&apos;s Day,T0PH4T,1,1300,1,1300,2018-06-02,2018-06-02,2018-06-02,False,True
Pat-a-Cake,NihilisticJanitor,1,364,1,364,2018-06-02,2018-06-02,2018-06-02,False,True
Resolve,SouthernWind,1,760,1,760,2018-06-02,2018-06-02,2018-06-02,False,True
Sleep walking,Mglakoe,1,1000,1,1000,2018-06-02,2018-06-02,2018-06-02,False,True
Wyvern,Ack,1,9000,14,58000,2018-06-02,2015-08-04,2018-06-02,False,False
Zelda in Brockton Bay,GilcuruLend,1,634,5,2100,2018-06-02,2018-01-03,2018-06-02,True,False
Altergeist,Morgan Arc,1,2400,4,8700,2018-06-02,2018-05-18,2018-06-02,False,False
Orious,Chara Dreemurr,1,9300,2,9300,2018-06-03,2018-05-24,2018-06-02,False,False
Real Genius,Here Come The Spoons,2,8700,6,21000,2018-06-02,2018-05-17,2018-06-02,False,False
Transcend,JackSl,1,1700,7,11000,2018-06-02,2018-05-21,2018-06-02,False,False
Under Darker Skies,flamelordytheking,1,1800,11,22000,2018-06-02,2018-10-06,2018-06-02,False,False
The Union of Independent Heroes,Ninja-Boy Shoji,1,1400,3,1500,2018-06-02,2018-05-20,2018-06-02,False,False
The Mask Goes On,somewhatLazy,1,1700,7,8700,2018-06-02,2018-05-19,2018-06-02,True,False
Golden Worm,Ninja-Boy Shoji,1,862,1,862,2018-05-27,2018-05-27,2018-05-26,False,False
Harmonic Resonance,ericwinter,2,16000,2,16000,2018-05-26,2018-05-26,2018-05-26,False,False
Pharos,turnus,1,1400,1,1400,2018-05-26,2018-05-25,2018-05-26,False,False
A Shadow In Hand,Niether,1,1800,1,1800,2018-05-26,2018-05-25,2018-05-26,False,False
Attack of the Canoneer!,RedFoxDelta,1,347,1,347,2018-05-26,2018-05-26,2018-05-26,False,True
Bed Rest,BeaconHill,1,2200,1,2200,2018-05-26,2018-05-26,2018-05-26,False,True
"By My Zeal, They Burn",SouthernWind,1,1000,1,1000,2018-05-26,2018-05-26,2018-05-26,False,True
Damsel of De-Stress,6thfloormadness,1,3800,1,3800,2018-05-26,2018-05-26,2018-05-26,False,True
Fairy Godmother,T0PH4T,1,554,1,554,2018-05-26,2018-05-26,2018-05-26,False,True
Fuck That,Selector,1,395,1,395,2018-05-26,2018-05-26,2018-05-26,False,True
Gestalt,Zero-metallix,1,2100,1,2100,2018-05-26,2018-05-26,2018-05-26,False,True
Heartbreak Haze,Arthur Hansen,1,2000,1,2000,2018-05-26,2018-05-26,2018-05-26,False,True
I Am Alive,SouthernWind,1,1500,1,1500,2018-05-28,2018-05-27,2018-05-26,False,True
In Full Blume,SouthernWind,1,1500,1,1500,2018-05-27,2018-05-27,2018-05-26,False,True
"So, You Want to Be a Superhero",SouthernWind,1,1000,1,1000,2018-05-26,2018-05-26,2018-05-26,False,True
That&apos;s The Good Shit,SouthernWind,1,1100,1,1100,2018-05-26,2018-05-26,2018-05-26,False,True
Vermicast,Selector,3,11000,3,11000,2018-05-26,2018-01-12,2018-05-26,False,True
Engineering in Reverse,wkz,5,5300,12,12000,2018-05-26,2018-12-28,2018-05-26,False,False
Pulse,BeaconHill,1,2200,2,5100,2018-05-26,2018-11-30,2018-05-26,False,False
Saiyan in Brockton,DesertChocolate,1,4000,31,105000,2018-05-26,2016-02-21,2018-05-26,False,False
Where the Sakura blossoms,Varosch,1,1800,3,6400,2018-05-26,2018-06-15,2018-05-26,False,False
The Wrathful One,Divine_Rogziel,2,1200,5,6300,2018-05-26,2018-09-06,2018-05-26,False,False
All Fictions,Jeckparadox,2,2900,7,19000,2018-05-27,2018-05-20,2018-05-26,False,False
Crystallized Apocalypse,QuickDeath007,26,34000,26,34000,2018-05-26,2018-11-01,2018-05-26,False,False
Familiar of Crystals,QuickDeath007,1,936,24,29000,2018-05-26,2018-02-11,2018-05-26,False,False
A God In The Bay,Kalzky,1,1800,5,7400,2018-05-26,2018-05-15,2018-05-26,False,False
Hit the Ground Running,Zero Rewind,1,4800,4,5000,2018-05-26,2018-05-23,2018-05-26,False,False
Industrial Gramar,Pachycephalosaur,1,7400,5,19000,2018-05-28,2018-05-14,2018-05-26,False,False
Playing Hooky,Somewhat Disinterested,1,3400,32,81000,2018-05-26,2018-07-17,2018-05-26,False,False
Query,foldimort,1,3400,4,10000,2018-05-26,2018-02-28,2018-05-26,False,False
The Ravenlord of Brockton Bay,Perihuman,1,1200,5,8600,2018-05-26,2018-02-08,2018-05-26,False,False
Setanta,Ritic,1,6900,172,819000,2018-05-27,2015-08-13,2018-05-26,False,False
Shadows of a Slaughterhouse,RagingCitrusTree,1,3600,6,18000,2018-05-26,2018-06-18,2018-05-26,False,False
Sniper,TarkustheJaguar,1,3800,5,17000,2018-05-26,2018-01-30,2018-05-26,False,False
Someone Else&apos;s SI,helpmeimscared,1,2400,9,10000,2018-05-27,2018-05-09,2018-05-26,False,False
A tale of cards,ThatOneAttacker,1,1800,9,13000,2018-05-26,2018-02-23,2018-05-26,False,False
MinMaster,Grubleafeater,2,260,5,665,2018-05-26,2018-05-21,2018-05-26,True,False
Void Walker,lockingbane,3,2200,12,5900,2018-05-26,2018-05-21,2018-05-26,True,False
Worm: Mystery Quest,Soldraconis,1,628,23,18000,2018-05-26,2018-04-08,2018-05-26,True,False
Cracked,Serene (The_Serene_Being),2,1600,2,1600,2018-05-19,2018-05-19,2018-05-19,False,False
Greg 10,SpiderMarko,1,1900,1,1900,2018-05-19,2018-05-19,2018-05-19,False,False
Storm at Sea,Dis Lexic,2,4900,2,4900,2018-05-19,2018-05-19,2018-05-19,False,False
To be Queen,Accelerator/onewayroad,3,1000,3,1000,2018-05-19,2018-05-19,2018-05-19,False,False
Wartime,Rockwithfries,3,4400,3,4400,2018-05-19,2018-05-19,2018-05-19,False,False
When Brian Met Kayden...,SouthernWind,2,4400,2,4400,2018-05-19,2018-05-19,2018-05-19,False,False
Just Like Home,Grubleafeater,3,508,3,508,2018-05-19,2018-05-19,2018-05-19,True,False
Ave Imperium; Ave Imperator,SouthernWind,1,2100,1,2100,2018-05-19,2018-05-19,2018-05-19,False,True
Breaking Down,ZanyDuck,2,1300,2,1300,2018-05-19,2018-05-19,2018-05-19,False,True
Chili Night,Discreet,1,1000,1,1000,2018-05-19,2018-05-19,2018-05-19,False,True
Don&apos;t Argue with Dragons,SouthernWind,1,2000,1,2000,2018-05-19,2018-05-19,2018-05-19,False,True
Everything&apos;s (Not) Alright,SouthernWind,1,1600,1,1600,2018-05-19,2018-05-19,2018-05-19,False,True
A Fisherman&apos;s Tale,Gaia,1,693,1,693,2018-05-19,2018-05-19,2018-05-19,False,True
Grudge Match,SouthernWind,1,790,1,790,2018-05-19,2018-05-19,2018-05-19,False,True
Grundy Lives,SouthernWind,1,1000,1,1000,2018-05-20,2018-05-19,2018-05-19,False,True
Lich,Mglakoe,2,693,2,693,2018-05-19,2018-05-06,2018-05-19,False,True
Non Canon like a Boss,freebiewitz,1,672,1,672,2018-05-19,2018-05-19,2018-05-19,False,True
Progression,ZanyDuck,2,1300,2,1300,2018-05-19,2018-05-19,2018-05-19,False,True
Random Omnipotent Brat,Fencer22,1,2300,1,2300,2018-05-19,2018-05-19,2018-05-19,False,True
Reap What Has Been Sown,SouthernWind,1,1100,1,1100,2018-05-19,2018-05-19,2018-05-19,False,True
Regarding the Ethics of Apathy,SouthernWind,1,1300,1,1300,2018-05-19,2018-05-19,2018-05-19,False,True
Sparky&apos;s Bug Adventure,Gaia,1,1500,1,1500,2018-05-19,2018-05-19,2018-05-19,False,True
under the great sky (those who bonded by flames),Yolea Irk&apos;s,1,5900,1,5900,2018-05-19,2018-05-19,2018-05-19,False,True
Valentine&apos;s Day,T0PH4T,1,2100,1,2100,2018-05-19,2018-05-19,2018-05-19,False,True
You Don&apos;t Know Jack,Noelemahc,1,3400,1,3400,2018-05-19,2018-05-19,2018-05-19,False,True
Homecoming,sylae,1,4300,4,12000,2018-05-19,2018-02-03,2018-05-19,False,False
Past and Present,Happy1K1nob1,1,3700,3,4400,2018-05-19,2017-02-18,2018-05-19,False,False
Worm: The Lost Days,Materia-Blade,1,1900,6,5800,2018-05-19,2015-06-22,2018-05-19,False,False
Cold Cash 4 Capes,Grubleafeater,1,925,21,6200,2018-05-19,2018-01-20,2018-05-19,True,False
Book 1 of the Outsiders: The Unpredictable Journey,ImBoredSoJustDoingRandomFanfic,1,2800,2,8500,2018-05-19,2018-04-24,2018-05-19,False,False
Deal With the Devil,ericwinter,1,4800,4,21000,2018-05-19,2018-03-03,2018-05-19,False,False
Don&apos;t Say Vampire,DeltaNovember,2,4700,51,203000,2018-05-19,2018-07-28,2018-05-19,False,False
Electronic Ponderings,Rockwithfries,7,9100,8,2600,2018-05-19,2018-05-18,2018-05-19,False,False
GamerKiwi! Worm SI FanficMashup AU,PocketRikimaru,1,1900,5,4000,2018-05-19,2018-02-21,2018-05-19,False,False
Outsider Chronicles: Storm at Sea,Dis Lexic,1,2000,7,17000,2018-05-19,2018-05-06,2018-05-19,False,False
Queen of Swords,DschingisKhan,1,4600,3,10000,2018-05-19,2018-10-01,2018-05-19,False,False
Reality Intrudes,Selector,1,2200,20,35000,2018-05-19,2018-11-27,2018-05-19,False,False
Sasori,Crimsom-Wyvern,1,6300,6,38000,2018-05-19,2018-03-30,2018-05-19,False,False
Stone Bay,Jeckparadox,1,2700,2,2600,2018-05-19,2018-05-17,2018-05-19,False,False
The World is Saved... Now What?,Mizuki_Stone,1,1300,30,23000,2018-05-19,2015-05-04,2018-05-19,False,False
Maternal Instinct,hellgodsrus,1,2000,93,246000,2018-05-19,2014-10-12,2018-05-19,True,False
Nasod Ship Escalation,Soldraconis,1,950,6,7400,2018-05-19,2018-05-05,2018-05-19,True,False
Bad Dreams (Conquering Fear),Error404:PlotNotFound,1,1300,1,1300,2018-05-12,2018-05-12,2018-05-12,False,False
Feeling Golden,GearinTime,1,1400,1,1400,2018-05-12,2018-05-12,2018-05-12,False,False
Fish Out Of Water (Remake),Momo,2,1500,2,1500,2018-05-12,2018-05-12,2018-05-12,False,False
Gravitas,Ack,2,9700,2,9700,2018-05-12,2018-05-12,2018-05-12,False,False
The Pony In The Cupboard,Gjinari,2,1700,2,1700,2018-05-12,2018-05-12,2018-05-12,False,False
Promethean Consequence,Path to Somewhere,1,3400,1,3400,2018-05-12,2018-05-12,2018-05-12,False,False
Sovereign Shard,Assassin EMIYA,2,806,2,806,2018-05-12,2018-05-12,2018-05-12,False,False
Worm Notice,Double-Portion,1,572,1,572,2018-05-12,2018-05-12,2018-05-12,False,False
Threat Quest - Nuclear Bird Simulator,ultima333,24,10000,24,10000,2018-05-12,2018-05-12,2018-05-12,True,False
Anger Management,audriuska12,29,51000,29,51000,2018-05-12,2018-01-23,2018-05-12,False,True
An Amalgam of Problems,SouthernWind,1,1100,1,1100,2018-05-12,2018-05-12,2018-05-12,False,True
Chimes,QafianSage,1,4300,1,4300,2018-05-12,2018-05-12,2018-05-12,False,True
Daggers Behind Smiles,experiment,1,663,1,663,2018-05-12,2018-05-11,2018-05-12,False,True
The Dark Huntress,SouthernWind,2,3100,2,3100,2018-05-12,2018-05-12,2018-05-12,False,True
The Exterminator,Fencer22,2,2200,2,2200,2018-05-12,2018-05-12,2018-05-12,False,True
KJV 6:8,SouthernWind,1,707,1,707,2018-05-12,2018-05-12,2018-05-12,False,True
Mother&apos;s Rage,QAI521,1,6900,1,6900,2018-05-12,2018-05-12,2018-05-12,False,True
Persevere,SouthernWind,1,1300,1,1300,2018-05-12,2018-05-12,2018-05-12,False,True
A Sexy Little Number,Foxtail,1,76,1,76,2018-05-12,2018-05-12,2018-05-12,False,True
Showdown,Your Citrus Buddy,1,3000,1,3000,2018-05-12,2018-05-12,2018-05-12,False,True
Springtime Days,Shirogami,2,1400,2,1400,2018-05-12,2018-04-30,2018-05-12,False,True
Thanksgiving,T0PH4T,1,1300,1,1300,2018-05-12,2018-05-12,2018-05-12,False,True
Salve,Pirafir,1,5600,8,25000,2018-05-13,2015-08-26,2018-05-12,False,False
Boiler-Plate,Theleyak,1,2300,7,13000,2018-05-12,2018-12-03,2018-05-12,False,False
Etrian Odyssey: The Worm Story,KrissKross,1,1800,5,9200,2018-05-12,2018-04-29,2018-05-12,False,False
Exponential Growth,X0ll0X,1,5400,28,104000,2018-05-12,2016-11-08,2018-05-12,False,False
The Fourth Endbringer,Dull Silver,1,4800,3,13000,2018-05-13,2018-02-20,2018-05-12,False,False
Mausoleum Rewrite,JackSl,1,1600,10,22000,2018-05-12,2018-04-08,2018-05-12,False,False
Moirai technologies,Albert Solomon,2,3800,3,5400,2018-05-12,2018-05-11,2018-05-12,False,False
The Primarch Reborn,Miria The Phantom,1,7900,6,31000,2018-05-12,2018-04-06,2018-05-12,False,False
The Student,BeaconHill,1,2500,24,67000,2018-05-12,2016-03-22,2018-05-12,False,False
Taylor Hebert: Death Knight,Perihuman,1,4500,20,44000,2018-05-12,2016-09-17,2018-05-12,False,False
Taylor the Tailor,SouthernWind,1,827,2,3500,2018-05-13,2018-04-30,2018-05-12,False,False
THE ABYSSAL FORMERLY KNOWN AS RILEY QUEST,Origami Clock,1,2900,6,15000,2018-05-12,2018-03-11,2018-05-12,True,False
Threat Quest : Playing With Nuclear Fire!,ultima333,1,78,22,9200,2018-05-12,2014-11-12,2018-05-12,True,False
F1END,logiccosmic,1,1700,1,1700,2018-05-05,2018-05-05,2018-05-05,False,False
"If It&apos;s Hostile, You Kill It",RagnarokAscendant,4,3900,4,3900,2018-05-05,2018-05-05,2018-05-05,False,False
The Iron Initiative,A_simple_worm_fan,4,6200,4,6200,2018-05-05,2018-05-06,2018-05-05,False,False
Laziestbum&apos;s Lazy Zone for Lazy Fiction,LaziestBum,3,3100,3,3100,2018-05-05,2018-05-06,2018-05-05,False,False
Worm: Age of Extinction,Macro_the_Acro,6,4100,6,4100,2018-05-05,2018-05-05,2018-05-05,False,False
xxxAddict,UsurperOfTruth,3,2700,3,2700,2018-05-05,2018-05-06,2018-05-05,False,False
Emma and The Great Game,BMW,1,1200,1,1200,2018-05-05,2018-05-05,2018-05-05,True,False
Invisible Friends,FantasticalContrarian,1,1900,1,1900,2018-05-05,2018-05-05,2018-05-05,False,True
The Grimm Queen,Fencer22,3,4600,3,4600,2018-05-05,2016-12-04,2018-05-05,False,True
High Rolling,Foxtail,1,98,1,98,2018-05-05,2018-05-05,2018-05-05,False,True
Things Worth Saving,Foxtail,1,168,1,168,2018-05-05,2018-05-05,2018-05-05,False,True
Officer Hess Art,freebiewitz,1,116,1,116,2018-05-05,2018-05-05,2018-05-05,False,True
Happily,smolandfeisty,1,150,1,150,2018-05-05,2018-05-05,2018-05-05,False,True
Chatbox!Taylor,Hydralisk,1,2500,1,2500,2018-05-07,2018-05-06,2018-05-05,False,True
Vicky the Edgelord,Lord Mendasuit,1,524,1,524,2018-05-05,2018-05-05,2018-05-05,False,True
A Cosmic Fuckup,SouthernWind,1,1000,1,1000,2018-05-05,2018-05-05,2018-05-05,False,True
Deimos,SouthernWind,1,2500,1,2500,2018-05-07,2018-05-07,2018-05-05,False,True
The Fourth Horseman,SouthernWind,1,2500,1,2500,2018-05-05,2018-05-05,2018-05-05,False,True
The Men in the Sin,SouthernWind,1,963,1,963,2018-05-06,2018-05-06,2018-05-05,False,True
The Mission,SouthernWind,1,1100,1,1100,2018-05-07,2018-05-06,2018-05-05,False,True
The Sins in the Man,SouthernWind,2,3600,2,3600,2018-05-05,2018-05-05,2018-05-05,False,True
Worm Abridged?,UnwelcomeStorm,1,843,1,843,2018-05-07,2018-05-07,2018-05-05,False,True
Blood and Ink,NexusTheDark,2,7400,9,36000,2018-05-05,2018-09-21,2018-05-05,False,False
Heels Over Head,Hotdog Vendor,44,111000,44,111000,2018-05-05,2014-06-23,2018-05-05,False,False
Banners,S0ngD0g13,1,863,14,13000,2018-05-05,2017-04-16,2018-05-05,False,False
"Stacked Deck (Or, Colin Wallis vs. Single Parenting)",UnwelcomeStorm,1,2400,28,68000,2018-05-06,2016-11-19,2018-05-05,False,False
Child of Shadow,Cybandeath,1,715,4,2900,2018-05-05,2018-04-21,2018-05-05,False,False
Diet Eidolon,Lokpik89,1,575,5,1900,2018-05-07,2018-04-13,2018-05-05,False,False
In this game...,Lightningnova16,1,6100,30,168000,2018-05-05,2016-06-14,2018-05-05,False,False
Meme,Azazel Crowley,4,14000,44,119000,2018-05-05,2018-04-07,2018-05-05,False,False
Sefirot,Stravick Ovmahn,1,1200,22,50000,2018-05-05,2018-02-04,2018-05-05,False,False
Tale of a Biron,Sohlat-Daimah,1,3400,13,24000,2018-05-05,2015-10-06,2018-05-05,False,False
This Time...,Error404:PlotNotFound,4,3800,17,14000,2018-05-05,2018-04-19,2018-05-05,False,False
You Are A Pirate,solopath,5,13000,5,13000,2018-05-05,2018-04-03,2018-05-05,False,False
How Does That Make You Feel?,Sculptor,1,1600,14,12000,2018-05-05,2018-03-14,2018-05-05,True,False
Titanomachy: An Alt-Timeline Worm Organization Quest,physxman,17,16000,17,16000,2018-05-05,2018-12-24,2018-05-05,True,False
Fists of fury,matthew badger,1,1500,1,1500,2018-04-28,2018-04-28,2018-04-28,False,False
The Sage&apos;s Legacy,GlassLion,3,4200,3,4200,2018-04-28,2018-04-28,2018-04-28,False,False
Shadow King,Emperor Tippy,1,2000,1,2000,2018-04-28,2018-04-28,2018-04-28,False,False
What If?,Sanguine,2,843,2,843,2018-04-28,2018-04-28,2018-04-28,False,False
Getting On Their Nerves,6thfloormadness,1,2200,1,2200,2018-04-28,2018-04-28,2018-04-28,False,True
Shedding Bonds,6thfloormadness,1,3700,1,3700,2018-04-28,2018-04-28,2018-04-28,False,True
Godspeed,acairta,1,1000,1,1000,2018-04-28,2018-04-28,2018-04-28,False,True
A Nice Jacket,Discreet,1,1500,1,1500,2018-04-28,2018-04-28,2018-04-28,False,True
Aisha&apos;s Trigger,Discreet,1,1500,1,1500,2018-04-28,2018-04-28,2018-04-28,False,True
The Grimm Queen 2,Fencer22,1,3900,1,3900,2018-04-28,2018-04-28,2018-04-28,False,True
The Godfather,Mglakoe,1,1700,1,1700,2018-04-28,2018-04-28,2018-04-28,False,True
Mass Effect/Worm Post-Canon,RedFoxDelta,1,1400,1,1400,2018-04-28,2018-04-28,2018-04-28,False,True
The Legend We Make,Selonianth,1,2200,1,2200,2018-04-28,2018-04-28,2018-04-28,False,True
Afflicted,Shirogami,1,235,1,235,2018-04-28,2018-04-28,2018-04-28,False,True
Showstopper,tattletaletales,1,479,1,479,2018-04-28,2018-04-28,2018-04-28,False,True
Aggression,SouthernWind,1,1100,1,1100,2018-04-28,2018-04-28,2018-04-28,False,True
Altered Trajectory,SouthernWind,1,1500,1,1500,2018-04-28,2018-04-28,2018-04-28,False,True
